Sr. No,Symbol,Series,Security Name,From,To
1,GVPTECH,EQ,GVP INFOTECH LIMITED,10,5
2,SECMARK,EQ,SECMARK CONSULTANCY LIMITED,10,5
3,EMKAYTOOLS,ST,EMKAY TAPS AND CUTTING TOOLS LIMITED,20,5
4,MCL,EQ,MADHAV COPPER LIMITED,20,10
5,AILIMITED,ST,ABHISHEK INTEGRATIONS LIMITED,5,2
6,ASHIMASYN,BE,ASHIMA LIMITED,5,2
7,EMKAY,BE,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,5,2
8,GATECHDVR,BE,GACM TECHNOLOGIES LIMITED,5,2
9,GLFL,BE,GUJARAT LEASE FINANCING LIMITED,5,2
10,KAVVERITEL,BE,KAVVERI TELECOM PRODUCTS LIMITED,5,2
11,OSIAHYPER,BE,OSIA HYPER RETAIL LIMITED,5,2
12,PRITIKA,ST,PRITIKA ENGINEERING COMPONENTS LIMITED,5,2
13,SABAR,ST,SABAR FLEX INDIA LIMITED,5,2
14,SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,5,2
15,SLONE,ST,SLONE INFOSYSTEMS LIMITED,5,2
16,VIJIFIN,BE,VIJI FINANCE LIMITED,5,2
17,VLINFRA,ST,V.L.INFRAPROJECTS LIMITED,5,2
